Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
1331,Athol,MA,42.579931,-72.20836,-5,1,"42.579931, -72.20836"
2668,West Barnstable,MA,41.70631,-70.37048,-5,1,"41.70631, -70.37048"
1014,Chicopee,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
1109,Springfield,MA,42.116277,-72.55031,-5,1,"42.116277, -72.55031"
1202,Pittsfield,MA,42.3929,-73.228483,-5,1,"42.3929, -73.228483"
1615,Worcester,MA,42.364807,-71.896868,-5,1,"42.364807, -71.896868"
1060,Northampton,MA,42.324539,-72.63561,-5,1,"42.324539, -72.63561"
2466,Auburndale,MA,42.345833,-71.24735,-5,1,"42.345833, -71.24735"
1013,Chicopee,MA,42.161492,-72.60316,-5,1,"42.161492, -72.60316"
1337,Bernardston,MA,42.678023,-72.55569,-5,1,"42.678023, -72.55569"
2041,Green Harbor,MA,42.069642,-70.649075,-5,1,"42.069642, -70.649075"
1705,Framingham,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2542,Buzzards Bay,MA,41.665605,-70.52456,-5,1,"41.665605, -70.52456"
1245,Monterey,MA,42.180659,-73.20849,-5,1,"42.180659, -73.20849"
1608,Worcester,MA,42.261343,-71.80173,-5,1,"42.261343, -71.80173"
1501,Auburn,MA,42.20361,-71.83843,-5,1,"42.20361, -71.83843"
1748,Hopkinton,MA,42.220447,-71.53418,-5,1,"42.220447, -71.53418"
2071,South Walpole,MA,42.101406,-71.27239,-5,1,"42.101406, -71.27239"
1866,Pinehurst,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2054,Millis,MA,42.166398,-71.36178,-5,1,"42.166398, -71.36178"
2118,Boston,MA,42.338724,-71.07276,-5,1,"42.338724, -71.07276"
2116,Boston,MA,42.349622,-71.07372,-5,1,"42.349622, -71.07372"
2150,Chelsea,MA,42.396382,-71.03352,-5,1,"42.396382, -71.03352"
1071,Russell,MA,42.165931,-72.85153,-5,1,"42.165931, -72.85153"
1538,North Uxbridge,MA,42.364807,-71.896868,-5,1,"42.364807, -71.896868"
1653,Worcester,MA,42.364807,-71.896868,-5,1,"42.364807, -71.896868"
2767,Raynham,MA,41.934586,-71.04905,-5,1,"41.934586, -71.04905"
1850,Lowell,MA,42.655791,-71.30504,-5,1,"42.655791, -71.30504"
2155,Medford,MA,42.419846,-71.10942,-5,1,"42.419846, -71.10942"
2461,Newton Highlands,MA,42.31883,-71.20822,-5,1,"42.31883, -71.20822"
2713,Cuttyhunk,MA,41.429673,-70.8954,-5,1,"41.429673, -70.8954"
1703,Framingham,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1550,Southbridge,MA,42.070827,-72.03533,-5,1,"42.070827, -72.03533"
1807,Woburn,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1450,Groton,MA,42.609887,-71.55722,-5,1,"42.609887, -71.55722"
2467,Chestnut Hill,MA,42.321997,-71.17314,-5,1,"42.321997, -71.17314"
2060,North Scituate,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
1079,Thorndike,MA,42.192892,-72.329574,-5,1,"42.192892, -72.329574"
2171,Quincy,MA,42.284498,-71.02316,-5,1,"42.284498, -71.02316"
1864,North Reading,MA,42.583436,-71.0982,-5,1,"42.583436, -71.0982"
1720,Acton,MA,42.477142,-71.4422,-5,1,"42.477142, -71.4422"
2166,Auburndale,MA,42.346146,-71.243057,-5,1,"42.346146, -71.243057"
1092,West Warren,MA,42.210777,-72.23904,-5,1,"42.210777, -72.23904"
1517,East Princeton,MA,42.364807,-71.896868,-5,1,"42.364807, -71.896868"
2356,North Easton,MA,42.058507,-71.11309,-5,1,"42.058507, -71.11309"
1965,Prides Crossing,MA,42.558113,-70.825743,-5,1,"42.558113, -70.825743"
1970,Salem,MA,42.516845,-70.8985,-5,1,"42.516845, -70.8985"
2536,East Falmouth,MA,41.578992,-70.5614,-5,1,"41.578992, -70.5614"
1222,Ashley Falls,MA,42.057496,-73.32177,-5,1,"42.057496, -73.32177"
2115,Boston,MA,42.34308,-71.09268,-5,1,"42.34308, -71.09268"
1247,North Adams,MA,42.696064,-73.10145,-5,1,"42.696064, -73.10145"
2481,Wellesley Hills,MA,42.313329,-71.27649,-5,1,"42.313329, -71.27649"
1506,Brookfield,MA,42.200374,-72.09787,-5,1,"42.200374, -72.09787"
2324,Bridgewater,MA,41.979501,-70.97215,-5,1,"41.979501, -70.97215"
2567,Sagamore,MA,41.79197,-70.530852,-5,1,"41.79197, -70.530852"
1469,Townsend,MA,42.658738,-71.69204,-5,1,"42.658738, -71.69204"
2120,Boston,MA,42.332099,-71.09651,-5,1,"42.332099, -71.09651"
2771,Seekonk,MA,41.84345,-71.32343,-5,1,"41.84345, -71.32343"
2302,Brockton,MA,42.08715,-71.00222,-5,1,"42.08715, -71.00222"
2476,Arlington,MA,42.416745,-71.17761,-5,1,"42.416745, -71.17761"
1741,Carlisle,MA,42.5286,-71.35084,-5,1,"42.5286, -71.35084"
1366,Petersham,MA,42.474718,-72.21226,-5,1,"42.474718, -72.21226"
1059,North Amherst,MA,42.369562,-72.63599,-5,1,"42.369562, -72.63599"
1889,North Reading,MA,42.571633,-71.109646,-5,1,"42.571633, -71.109646"
2351,Abington,MA,42.119534,-70.94787,-5,1,"42.119534, -70.94787"
1826,Dracut,MA,42.677772,-71.316,-5,1,"42.677772, -71.316"
1267,Williamstown,MA,42.689962,-73.22355,-5,1,"42.689962, -73.22355"
1349,Turners Falls,MA,42.5737,-72.50525,-5,1,"42.5737, -72.50525"
2369,Dennis Port,MA,41.662531,-70.14021,-5,1,"41.662531, -70.14021"
1420,Fitchburg,MA,42.578689,-71.80338,-5,1,"42.578689, -71.80338"
2143,Somerville,MA,42.381929,-71.09908,-5,1,"42.381929, -71.09908"
2193,Weston,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1431,Ashby,MA,42.672005,-71.8137,-5,1,"42.672005, -71.8137"
2186,Milton,MA,42.253074,-71.07496,-5,1,"42.253074, -71.07496"
1129,Springfield,MA,42.121031,-72.4896,-5,1,"42.121031, -72.4896"
2190,Weymouth,MA,42.1711,-70.94597,-5,1,"42.1711, -70.94597"
2738,Marion,MA,41.706599,-70.75086,-5,1,"41.706599, -70.75086"
2746,New Bedford,MA,41.659336,-70.93347,-5,1,"41.659336, -70.93347"
1612,Paxton,MA,42.307591,-71.91929,-5,1,"42.307591, -71.91929"
2660,South Dennis,MA,41.712338,-70.16165,-5,1,"41.712338, -70.16165"
2067,Sharon,MA,42.113749,-71.17923,-5,1,"42.113749, -71.17923"
2343,Holbrook,MA,42.148351,-71.01037,-5,1,"42.148351, -71.01037"
1138,Springfield,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
2631,Brewster,MA,41.746647,-70.07773,-5,1,"41.746647, -70.07773"
2238,Cambridge,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1369,Shattuckville,MA,42.522178,-72.624164,-5,1,"42.522178, -72.624164"
2031,East Mansfield,MA,41.998799,-71.200894,-5,1,"41.998799, -71.200894"
2254,Waltham,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1240,Lenox,MA,42.36237,-73.27683,-5,1,"42.36237, -73.27683"
2363,Plymouth,MA,41.959094,-70.706774,-5,1,"41.959094, -70.706774"
2070,Sheldonville,MA,42.180048,-71.08923,-5,1,"42.180048, -71.08923"
1101,Springfield,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
1073,Southampton,MA,42.223885,-72.72777,-5,1,"42.223885, -72.72777"
1532,Northborough,MA,42.321917,-71.64692,-5,1,"42.321917, -71.64692"
2209,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
1472,West Groton,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2142,Cambridge,MA,42.362297,-71.08412,-5,1,"42.362297, -71.08412"
2110,Boston,MA,42.356532,-71.05365,-5,1,"42.356532, -71.05365"
1590,Sutton,MA,42.131028,-71.75121,-5,1,"42.131028, -71.75121"
2174,Arlington,MA,42.417695,-71.167083,-5,1,"42.417695, -71.167083"
2164,Newton,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1949,Middleton,MA,42.602278,-71.01356,-5,1,"42.602278, -71.01356"
2558,Onset,MA,41.746424,-70.65956,-5,1,"41.746424, -70.65956"
1463,Pepperell,MA,42.665686,-71.5929,-5,1,"42.665686, -71.5929"
2451,Waltham,MA,42.393029,-71.24771,-5,1,"42.393029, -71.24771"
1074,South Barre,MA,42.375998,-72.149388,-5,1,"42.375998, -72.149388"
1805,Burlington,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1961,Peabody,MA,42.635443,-70.879123,-5,1,"42.635443, -70.879123"
1969,Rowley,MA,42.716708,-70.90899,-5,1,"42.716708, -70.90899"
2121,Boston,MA,42.307448,-71.08127,-5,1,"42.307448, -71.08127"
2185,Braintree,MA,42.180048,-71.08923,-5,1,"42.180048, -71.08923"
2791,Westport Point,MA,41.519104,-71.085137,-5,1,"41.519104, -71.085137"
2535,Chilmark,MA,41.345578,-70.75145,-5,1,"41.345578, -70.75145"
1027,Easthampton,MA,42.27279,-72.68677,-5,1,"42.27279, -72.68677"
1116,Longmeadow,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
1128,Springfield,MA,42.095344,-72.48857,-5,1,"42.095344, -72.48857"
2360,Plymouth,MA,41.894676,-70.61999,-5,1,"41.894676, -70.61999"
1613,Worcester,MA,42.293316,-71.801971,-5,1,"42.293316, -71.801971"
2122,Boston,MA,42.296298,-71.05454,-5,1,"42.296298, -71.05454"
2672,West Hyannisport,MA,41.636077,-70.31962,-5,1,"41.636077, -70.31962"
2402,Brockton,MA,42.0863,-70.999339,-5,1,"42.0863, -70.999339"
2258,Newton,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1581,Westborough,MA,42.269845,-71.61408,-5,1,"42.269845, -71.61408"
1360,Northfield,MA,42.682285,-72.45649,-5,1,"42.682285, -72.45649"
1341,Conway,MA,42.508313,-72.70403,-5,1,"42.508313, -72.70403"
1719,Boxborough,MA,42.486259,-71.51244,-5,1,"42.486259, -71.51244"
1784,Woodville,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2721,Fall River,MA,41.685452,-71.15425,-5,1,"41.685452, -71.15425"
1237,Lanesboro,MA,42.557346,-73.24364,-5,1,"42.557346, -73.24364"
2768,Raynham Center,MA,41.756214,-71.067062,-5,1,"41.756214, -71.067062"
1236,Housatonic,MA,42.266874,-73.36236,-5,1,"42.266874, -73.36236"
1610,Worcester,MA,42.248493,-71.80793,-5,1,"42.248493, -71.80793"
2043,Hingham,MA,42.225708,-70.88764,-5,1,"42.225708, -70.88764"
2552,Menemsha,MA,41.379836,-70.643092,-5,1,"41.379836, -70.643092"
1139,Springfield,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
1230,Great Barrington,MA,42.189715,-73.35249,-5,1,"42.189715, -73.35249"
2748,South Dartmouth,MA,41.59156,-70.9494,-5,1,"41.59156, -70.9494"
1151,Indian Orchard,MA,42.153926,-72.50531,-5,1,"42.153926, -72.50531"
1879,Tyngsboro,MA,42.671589,-71.41694,-5,1,"42.671589, -71.41694"
2215,Boston,MA,42.346997,-71.10215,-5,1,"42.346997, -71.10215"
2138,Cambridge,MA,42.379146,-71.12803,-5,1,"42.379146, -71.12803"
1103,Springfield,MA,42.103294,-72.59112,-5,1,"42.103294, -72.59112"
1853,Lowell,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2367,Plympton,MA,41.968987,-70.80452,-5,1,"41.968987, -70.80452"
1010,Brimfield,MA,42.126038,-72.20552,-5,1,"42.126038, -72.20552"
1438,East Templeton,MA,42.563367,-72.03498,-5,1,"42.563367, -72.03498"
1543,Rutland,MA,42.380877,-71.96427,-5,1,"42.380877, -71.96427"
1907,Swampscott,MA,42.474409,-70.90588,-5,1,"42.474409, -70.90588"
1604,Worcester,MA,42.255393,-71.77459,-5,1,"42.255393, -71.77459"
2478,Belmont,MA,42.391546,-71.17471,-5,1,"42.391546, -71.17471"
2554,Nantucket,MA,41.276758,-70.09089,-5,1,"41.276758, -70.09089"
1054,Leverett,MA,42.479839,-72.49879,-5,1,"42.479839, -72.49879"
1351,Montague,MA,42.534976,-72.52522,-5,1,"42.534976, -72.52522"
1063,Northampton,MA,42.317939,-72.640234,-5,1,"42.317939, -72.640234"
1950,Newburyport,MA,42.809891,-70.86363,-5,1,"42.809891, -70.86363"
2355,North Carver,MA,41.916918,-70.801331,-5,1,"41.916918, -70.801331"
2040,Greenbush,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
2038,Franklin,MA,42.089104,-71.4069,-5,1,"42.089104, -71.4069"
1960,Peabody,MA,42.534045,-70.96146,-5,1,"42.534045, -70.96146"
2129,Charlestown,MA,42.378619,-71.06495,-5,1,"42.378619, -71.06495"
1757,Milford,MA,42.149176,-71.52149,-5,1,"42.149176, -71.52149"
1812,Andover,MA,42.647191,-71.184202,-5,1,"42.647191, -71.184202"
1588,Whitinsville,MA,42.114195,-71.67225,-5,1,"42.114195, -71.67225"
1936,Hamilton,MA,42.635443,-70.879123,-5,1,"42.635443, -70.879123"
1985,West Newbury,MA,42.790736,-70.97286,-5,1,"42.790736, -70.97286"
2740,New Bedford,MA,41.634754,-70.93752,-5,1,"41.634754, -70.93752"
2741,New Bedford,MA,41.756214,-71.067062,-5,1,"41.756214, -71.067062"
1940,Lynnfield,MA,42.527895,-71.02834,-5,1,"42.527895, -71.02834"
2144,Somerville,MA,42.399546,-71.12165,-5,1,"42.399546, -71.12165"
2162,Newton,MA,42.331896,-71.25405,-5,1,"42.331896, -71.25405"
1902,Lynn,MA,42.469946,-70.94113,-5,1,"42.469946, -70.94113"
1808,Woburn,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1908,Nahant,MA,42.427096,-70.92809,-5,1,"42.427096, -70.92809"
2269,Quincy,MA,42.180048,-71.08923,-5,1,"42.180048, -71.08923"
2338,Halifax,MA,41.999851,-70.85395,-5,1,"41.999851, -70.85395"
1510,Clinton,MA,42.418836,-71.68482,-5,1,"42.418836, -71.68482"
1080,Three Rivers,MA,42.180563,-72.36518,-5,1,"42.180563, -72.36518"
2659,South Chatham,MA,41.678628,-70.02495,-5,1,"41.678628, -70.02495"
2764,North Dighton,MA,41.851557,-71.15125,-5,1,"41.851557, -71.15125"
1546,Shrewsbury,MA,42.364807,-71.896868,-5,1,"42.364807, -71.896868"
1347,Lake Pleasant,MA,42.556558,-72.518104,-5,1,"42.556558, -72.518104"
1901,Lynn,MA,42.461246,-70.946743,-5,1,"42.461246, -70.946743"
2404,Brockton,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
1801,Woburn,MA,42.484545,-71.15206,-5,1,"42.484545, -71.15206"
2056,Norfolk,MA,42.111836,-71.32855,-5,1,"42.111836, -71.32855"
2561,Sagamore,MA,41.770254,-70.533664,-5,1,"41.770254, -70.533664"
2655,Osterville,MA,41.632935,-70.38693,-5,1,"41.632935, -70.38693"
1084,West Chesterfield,MA,42.379807,-72.89043,-5,1,"42.379807, -72.89043"
1260,South Lee,MA,42.286586,-73.313274,-5,1,"42.286586, -73.313274"
1756,Mendon,MA,42.092006,-71.54474,-5,1,"42.092006, -71.54474"
1827,Dunstable,MA,42.671356,-71.50292,-5,1,"42.671356, -71.50292"
1256,Savoy,MA,42.592506,-73.01123,-5,1,"42.592506, -73.01123"
1507,Charlton,MA,42.135142,-71.96961,-5,1,"42.135142, -71.96961"
2495,Nonantum,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2556,North Falmouth,MA,41.6403,-70.63036,-5,1,"41.6403, -70.63036"
2479,Waverley,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2559,Pocasset,MA,41.694132,-70.61706,-5,1,"41.694132, -70.61706"
1844,Methuen,MA,42.73004,-71.17935,-5,1,"42.73004, -71.17935"
1905,Lynn,MA,42.464879,-70.97411,-5,1,"42.464879, -70.97411"
1810,Andover,MA,42.646942,-71.1513,-5,1,"42.646942, -71.1513"
1611,Cherry Valley,MA,42.238449,-71.87139,-5,1,"42.238449, -71.87139"
2105,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
1199,Springfield,MA,42.119943,-72.604983,-5,1,"42.119943, -72.604983"
1842,Lawrence,MA,42.635443,-70.879123,-5,1,"42.635443, -70.879123"
1519,Grafton,MA,42.201674,-71.68771,-5,1,"42.201674, -71.68771"
1865,Nutting Lake,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
2107,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
2272,Watertown,MA,42.446396,-71.459405,-5,1,"42.446396, -71.459405"
1086,Westfield,MA,42.173428,-72.847964,-5,1,"42.173428, -72.847964"
2208,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
1570,Webster,MA,42.047728,-71.86108,-5,1,"42.047728, -71.86108"
2109,Boston,MA,42.361477,-71.05417,-5,1,"42.361477, -71.05417"
1028,East Longmeadow,MA,42.066795,-72.5102,-5,1,"42.066795, -72.5102"
1021,Chicopee,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
2081,Walpole,MA,42.145237,-71.25375,-5,1,"42.145237, -71.25375"
1225,Cheshire,MA,42.551731,-73.1653,-5,1,"42.551731, -73.1653"
1773,Lincoln,MA,42.425537,-71.30316,-5,1,"42.425537, -71.30316"
2636,Centerville,MA,41.799312,-70.308662,-5,1,"41.799312, -70.308662"
2653,Orleans,MA,41.777647,-69.97312,-5,1,"41.777647, -69.97312"
2020,Brant Rock,MA,42.081825,-70.643868,-5,1,"42.081825, -70.643868"
2675,Yarmouth Port,MA,41.703205,-70.22395,-5,1,"41.703205, -70.22395"
1133,Springfield,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
1077,Southwick,MA,42.05283,-72.76966,-5,1,"42.05283, -72.76966"
1910,Lynn,MA,42.454796,-70.974694,-5,1,"42.454796, -70.974694"
2119,Boston,MA,42.324511,-71.08455,-5,1,"42.324511, -71.08455"
1745,Fayville,MA,42.295544,-71.50468,-5,1,"42.295544, -71.50468"
2468,Waban,MA,42.325247,-71.2319,-5,1,"42.325247, -71.2319"
1947,Salem,MA,42.642845,-70.873647,-5,1,"42.642845, -70.873647"
2634,Centerville,MA,41.799312,-70.308662,-5,1,"41.799312, -70.308662"
1011,Chester,MA,42.271442,-73.01958,-5,1,"42.271442, -73.01958"
1053,Leeds,MA,42.353105,-72.70206,-5,1,"42.353105, -72.70206"
2301,Brockton,MA,42.0794,-71.03441,-5,1,"42.0794, -71.03441"
2742,New Bedford,MA,41.619557,-70.956346,-5,1,"41.619557, -70.956346"
1903,Lynn,MA,42.635443,-70.879123,-5,1,"42.635443, -70.879123"
1923,Danvers,MA,42.569756,-70.94322,-5,1,"42.569756, -70.94322"
2717,East Freetown,MA,41.765934,-70.95332,-5,1,"41.765934, -70.95332"
1095,Wilbraham,MA,42.12531,-72.44057,-5,1,"42.12531, -72.44057"
1535,North Brookfield,MA,42.267274,-72.07823,-5,1,"42.267274, -72.07823"
1536,North Grafton,MA,42.231444,-71.70523,-5,1,"42.231444, -71.70523"
1537,North Oxford,MA,42.170846,-71.88989,-5,1,"42.170846, -71.88989"
2061,Norwell,MA,42.15243,-70.8205,-5,1,"42.15243, -70.8205"
2196,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
1004,Amherst,MA,42.384494,-72.513183,-5,1,"42.384494, -72.513183"
1083,Warren,MA,42.20468,-72.20259,-5,1,"42.20468, -72.20259"
2334,Easton,MA,42.023528,-71.132397,-5,1,"42.023528, -71.132397"
2539,Edgartown,MA,41.380479,-70.52453,-5,1,"41.380479, -70.52453"
1254,Richmond,MA,42.374711,-73.36336,-5,1,"42.374711, -73.36336"
2145,Somerville,MA,42.390846,-71.09225,-5,1,"42.390846, -71.09225"
2283,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
2573,Vineyard Haven,MA,41.379836,-70.643092,-5,1,"41.379836, -70.643092"
2667,Wellfleet,MA,41.922412,-70.01484,-5,1,"41.922412, -70.01484"
1518,Fiskdale,MA,42.12515,-72.12393,-5,1,"42.12515, -72.12393"
2553,Monument Beach,MA,41.67336,-70.608047,-5,1,"41.67336, -70.608047"
1525,Linwood,MA,42.364807,-71.896868,-5,1,"42.364807, -71.896868"
2348,Middleboro,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
2217,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
1257,Sheffield,MA,42.102694,-73.36591,-5,1,"42.102694, -73.36591"
2722,Fall River,MA,41.756214,-71.067062,-5,1,"41.756214, -71.067062"
1922,Byfield,MA,42.76087,-70.92648,-5,1,"42.76087, -70.92648"
1742,Concord,MA,42.457201,-71.37478,-5,1,"42.457201, -71.37478"
